t,tx,ty,tz,qw,qx,qy,qz,n_inliers,mean_residual
0.621934,0.10076129935697498,0.06878023272085088,-2.942073417897376,0.9998853434640265,0.0005820164042256626,-0.014793751545980978,0.0031790089535685137,135,0.20888555920802168
0.933064,0.11849523057004685,0.036657688989634174,-2.327736674899427,0.9997105635972292,-0.0020161715424243903,-0.023901798104312935,0.0018515214831531955,130,0.20389253683128183
1.24615,1.0358592353813,-0.28980494282346303,-2.811851601556029,0.9990665782957248,-0.006661990670396295,-0.042679287573597284,0.0002615817087472091,94,0.19800567351799142
1.555235,0.20801331237998255,0.07813596370951092,-2.466877665286482,0.9988756096062629,-0.005199290484685855,-0.04703509137845484,0.002860785065908487,79,0.20436757821272153
1.866463,0.4202623733705533,-0.15895191391596253,-3.1333272273973876,0.9985262320130588,-0.005887002337599194,-0.05392945476839924,0.0015235135915381576,50,0.20025199968742638
2.177588,0.056365074014063765,0.0925344956916323,-2.521599230565421,0.9986726206554402,-0.0007389142176471614,-0.05141993230884737,-0.002905395038208763,35,0.13786402548917925
2.48842,0.5074257648665785,0.31486878024789267,-2.8382225401553214,0.9982759280686038,0.0005870511824419998,-0.058379420361238804,0.006055583205839078,29,0.18113319989391855
2.799264,0.2626406176710496,0.09499007736298282,-2.855294475713059,0.9980488597986813,0.0023230618017001325,-0.062387494569456754,0.0009366748443825114,8,0.15510040027275407
4.350906,-14.310346256611133,7.306539481913508,5.131225237487591,0.968782209540483,0.12987250755194862,0.20736630554935698,0.03991713395071971,6,0.15968790465189397
4.970124,-14.360454572261759,-9.184638632171335,5.216705501839744,0.9666645707319553,-0.14280064879087906,0.21115345233807237,-0.024120571349409817,6,0.11761700191655973
5.280129,-1.0751069493504386,13.920755308755027,3.928523218761839,0.9785741380596977,0.20127645053610296,0.021696340918248888,-0.0375461791806647,6,0.15627279122005813
8.385996,0.1245179209548688,0.04316024753817249,-4.486317063310949,0.9999978893423623,0.0015280003983183339,-0.001084965970556925,-0.0008422436977500471,95,0.19308672619624362
8.696576,-1.232676206632636,0.1262439726243194,-3.2851968582814948,0.9999883999257915,0.003387030688194851,0.002957815225366903,-0.0017260840260207644,54,0.2203385768200649
9.007282,0.9959208584311696,-0.005523957153163117,-5.688341630820382,0.9999824787394603,-0.005358655312421891,-0.002100118139702839,-0.0013843883583992572,60,0.20874084001652404
9.317908,-1.3269167275849263,0.3260471411107,-2.9994575673036863,0.9999434636032151,-0.002035223092310265,0.004535073575241053,0.00940003041683511,41,0.254839817667875
9.628683,0.23396558052589,-0.018529374159520273,-4.220967560991376,0.9999851007599461,-0.0034908320126837943,-0.0019078809660696468,0.0037379593629402034,35,0.18375228000599092
9.939345,-0.03506170329163183,0.03842671370485551,-4.55986179088093,0.9999967442045554,-0.00023035121305246307,0.00210205475532621,0.001428245221558008,12,0.22760689735346853
10.250117,-1.6878826326779084,-0.8628450203905933,-3.9122687784075794,0.9994857097046068,0.010073369101263658,0.014657828376138642,-0.026683166950791475,8,0.17315570146104678
10.871227,-0.10217066109651451,-0.036691793184142174,0.15882574772116698,0.9999917231307051,0.0004057511205667272,0.0023290273640474844,-0.0033112939538768927,7,0.14935649460380138
12.11539,0.41856525941391,-0.22111629767316732,-0.09860728223917192,0.9999307042022173,-0.004322215386546383,-0.003818638113992047,0.010262711667220138,6,0.19000001216982634
23.609773,-0.5740738599201407,-0.5918189070117528,-2.7086439558661226,0.999988586230158,-0.0031690903790145084,-0.0014760305379102683,0.0032566254667880778,10,0.27140731251586336
23.920551,0.116634493047858,0.05372084674857014,-5.346848140759221,0.9999946459776582,0.0023041412110288264,-0.0007878405724570239,0.002185922352268657,16,0.128795916468033
24.231325,-0.05323314467203488,0.10173242035676822,-6.176539463948004,0.9999971497545797,0.0017235445234611035,0.0012300732966683814,-0.0011030850724757487,16,0.2098359426197296
24.54227,1.0700119348428387,-2.9377875105515177,-6.064381987534318,0.9998663826961952,-0.014394872637404365,-0.002784130726915816,-0.0072286244800778676,8,0.1517382307452912
24.852996,-0.682068634187921,-0.4395785705839863,-6.764514450081663,0.9999815995472094,-0.0025598083931388216,0.005348203355974729,-0.0012824464346972851,8,0.17457626088414138
25.163836,-1.0108011007548114,-0.12326082026565466,-5.109490069252004,0.9999910071048589,-0.001093314451343077,0.004093603238546487,-0.00018106751717527288,9,0.23791212987436555
25.475917,0.38384052034107086,0.11401957636611648,-4.142315450090862,0.9999895361610001,0.001148544617679034,-0.004387036560477825,-0.0006019335395774048,10,0.22885883352529937
25.785365,-2.5429401371050666,-1.1584495055876882,-5.56849876380538,0.9998851804614608,-0.007294982572700431,0.013102757051893121,-0.002174139014655489,6,0.12636876280781864
26.717034,-1.3174510505539985,1.2995817731865484,-4.854797686618831,0.999900185171731,0.010726365370052693,0.005030037723213418,0.007698279027772786,6,0.19054161948292556
27.338192,0.2179717138846602,0.17441978376234246,-5.902100694776891,0.9999984814827032,-0.00022765941221963444,-0.0015944100377896999,0.0006656276069910402,10,0.18338197744472734
